"keyword","cluster","intent","product_relevance","journey_stage","availability","status","source_type","source_evidence","demand_proxy","demand_score","competition_score","rustore_relevance","conversion_potential","business_value","strategic_value","winability_score","opportunity_score","tier","target","metadata_placement","notes"
"гороскоп дева сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"дева гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"дева гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"весы гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп весы сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"весы гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"весы гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"скорпион гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп скорпион сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"скорпион гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"скорпион гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"стрелец гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп стрелец сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"стрелец гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"стрелец гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"козерог гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп козерог сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"козерог гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"козерог гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"водолей гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп водолей сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"водолей гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"водолей гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рыбы гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп рыбы сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рыбы гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рыбы гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"натальная карта","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26: 499 results; top 3 are exact or near-exact natal-chart titles","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","9","9","10","10","9","10","64","89","S","TOP-1","title","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"рассчитать натальную карту","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26: #2 title is Натальная карта рассчитать с расшифровкой онлайн","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","8","10","10","9","10","66","88","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"натальная карта онлайн","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Observed RuStore SERP; planned authenticated validation in ASOdesk Search Explorer https://hq.asodesk.com/stores-analytics/search-explorer?locale=ru","RuStore volume unavailable — proxy: RuStore SERP now; ASOdesk Daily Impressions and Difficulty pending login; no demo metrics used","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальная карта бесплатно","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальная карта с расшифровкой","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Mixed","Target","Evidence","RuStore SERP 2026-08-26: #2 title explicitly covers calculation and interpretation","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","8","10","10","10","10","66","90","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"расшифровка натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","7","8","10","10","10","9","66","87","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"карта рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"астрологическая карта","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальная карта по дате рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","10","10","9","10","66","88","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальная карта по времени рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальная карта по месту рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"точный расчет натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"построить натальную карту","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"составить натальную карту","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"узнать натальную карту","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"полный разбор натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"разбор натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"интерпретация натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"значение натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"натальный гороскоп","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"натальный анализ","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"космограмма рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"звездная карта рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"асцендент","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"рассчитать асцендент","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"асцендент по дате рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"асцендент по времени рождения","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"какой у меня асцендент","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"восходящий знак","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рассчитать восходящий знак","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"планеты в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"положения планет при рождении","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"дома в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"значение домов в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"аспекты в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"расшифровка аспектов натальной карты","Натальная карта","Построить или понять персональную карту рождения","10","Monetization","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"солнце в натальной карте","Натальная карта","Построить или понять персональную карту рождения","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP натальная карта — 499 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","10","9","8","9","68","82","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
